Date,Open,High,Low,Close ,Adj Close ,Volume
09-Mar-26,"65,975.70","69,406.77","65,975.70","68,453.85","68,453.85","50,847,596,544"
08-Mar-26,"67,272.50","68,177.79","65,639.20","65,969.78","65,969.78","33,195,080,116"
07-Mar-26,"68,136.69","68,515.16","66,969.26","67,272.59","67,272.59","23,258,701,211"
06-Mar-26,"70,842.16","71,378.57","67,757.82","68,136.49","68,136.49","43,776,962,871"
05-Mar-26,"72,712.66","73,555.79","70,654.88","70,841.13","70,841.13","51,172,841,727"
04-Mar-26,"68,290.56","74,051.80","67,437.41","72,710.58","72,710.58","75,073,101,274"
03-Mar-26,"68,785.08","69,232.89","66,237.62","68,293.65","68,293.65","47,947,999,049"
02-Mar-26,"65,734.08","70,044.00","65,303.14","68,775.85","68,775.85","56,698,092,052"
01-Mar-26,"67,005.88","68,162.82","65,076.73","65,738.10","65,738.10","40,733,141,929"
28-Feb-26,"65,878.93","67,714.52","63,062.22","66,995.86","66,995.86","42,041,497,112"
27-Feb-26,"67,456.52","68,220.41","64,946.04","65,881.80","65,881.80","40,283,655,942"
26-Feb-26,"67,954.87","68,843.35","66,523.73","67,453.77","67,453.77","42,988,597,523"
25-Feb-26,"64,077.77","69,953.53","63,942.48","67,960.13","67,960.13","53,629,234,355"
24-Feb-26,"64,616.02","64,992.16","62,553.19","64,080.04","64,080.04","40,849,331,086"
23-Feb-26,"67,668.43","67,668.43","63,924.44","64,616.74","64,616.74","50,953,457,309"
22-Feb-26,"67,998.83","68,235.23","67,185.60","67,659.39","67,659.39","17,893,536,012"
21-Feb-26,"68,000.25","68,657.70","67,533.07","68,003.77","68,003.77","18,357,635,642"
20-Feb-26,"66,958.58","68,269.03","66,452.48","68,005.42","68,005.42","47,507,867,304"
19-Feb-26,"66,425.63","67,277.13","65,637.43","66,957.52","66,957.52","31,492,987,019"
18-Feb-26,"67,488.02","68,434.43","65,845.90","66,425.32","66,425.32","33,094,301,643"
17-Feb-26,"68,843.09","69,201.87","66,615.28","67,494.22","67,494.22","34,866,936,040"
16-Feb-26,"68,782.40","70,067.23","67,301.59","68,843.16","68,843.16","33,618,145,426"
15-Feb-26,"69,764.95","70,939.29","68,052.55","68,788.19","68,788.19","40,191,152,750"
14-Feb-26,"68,856.98","70,481.16","68,706.62","69,767.63","69,767.63","36,012,397,645"
13-Feb-26,"66,213.38","69,382.84","65,835.78","68,857.84","68,857.84","40,820,775,886"
12-Feb-26,"66,992.20","68,339.49","65,092.11","66,221.84","66,221.84","44,651,071,271"
11-Feb-26,"68,791.86","69,242.68","65,757.30","66,991.97","66,991.97","49,671,946,030"
10-Feb-26,"70,137.39","70,464.27","67,913.09","68,793.96","68,793.96","40,593,063,077"
09-Feb-26,"70,243.33","71,369.97","68,291.03","70,120.78","70,120.78","52,081,598,792"
08-Feb-26,"69,283.73","72,206.91","68,852.90","70,264.73","70,264.73","39,721,722,619"
07-Feb-26,"70,553.80","71,611.15","67,364.45","69,281.97","69,281.97","62,347,107,663"
06-Feb-26,"62,704.45","71,681.30","60,074.20","70,555.39","70,555.39","114,674,259,489"
05-Feb-26,"73,016.38","73,161.55","62,353.54","62,702.10","62,702.10","125,509,410,908"
04-Feb-26,"75,640.09","76,864.66","71,779.93","73,019.70","73,019.70","67,215,363,944"
03-Feb-26,"78,693.51","79,118.85","72,897.14","75,633.55","75,633.55","68,249,110,822"
02-Feb-26,"76,968.88","79,258.61","74,551.34","78,688.77","78,688.77","75,140,589,684"
01-Feb-26,"78,626.13","79,322.61","75,698.90","76,974.45","76,974.45","53,372,509,744"
31-Jan-26,"84,126.50","84,136.92","75,815.88","78,621.12","78,621.12","70,479,259,159"
30-Jan-26,"84,562.73","84,602.16","81,071.48","84,128.66","84,128.66","72,083,816,087"
29-Jan-26,"89,169.85","89,200.78","83,250.60","84,561.59","84,561.59","64,653,083,162"
28-Jan-26,"89,104.05","90,439.29","88,721.46","89,184.57","89,184.57","39,807,419,296"
27-Jan-26,"88,257.48","89,427.13","87,228.92","89,102.57","89,102.57","38,744,942,267"
26-Jan-26,"86,566.52","88,743.07","86,429.29","88,267.14","88,267.14","45,329,286,974"
25-Jan-26,"89,104.77","89,193.15","86,003.71","86,572.22","86,572.22","36,124,986,722"
24-Jan-26,"89,506.15","89,811.61","89,044.29","89,110.73","89,110.73","14,558,687,712"
23-Jan-26,"89,462.05","91,100.25","88,486.36","89,503.88","89,503.88","38,997,586,037"
22-Jan-26,"89,378.52","90,258.96","88,438.45","89,462.45","89,462.45","35,549,685,694"
21-Jan-26,"88,326.51","90,430.41","87,231.57","89,376.96","89,376.96","56,330,422,434"
20-Jan-26,"92,553.60","92,798.43","87,814.93","88,310.91","88,310.91","53,072,968,031"
19-Jan-26,"93,655.67","93,660.83","92,089.25","92,553.59","92,553.59","39,195,241,508"
18-Jan-26,"95,101.18","95,491.51","93,588.87","93,634.43","93,634.43","20,809,781,232"
17-Jan-26,"95,525.16","95,598.48","95,005.62","95,099.92","95,099.92","16,021,715,122"
16-Jan-26,"95,554.10","95,801.89","94,259.27","95,525.12","95,525.12","33,248,170,537"
15-Jan-26,"96,931.29","97,150.17","95,103.24","95,551.19","95,551.19","53,086,363,027"
14-Jan-26,"95,322.91","97,860.60","94,583.05","96,929.33","96,929.33","60,592,490,863"
13-Jan-26,"91,185.34","96,011.63","90,941.93","95,321.78","95,321.78","54,980,674,354"
12-Jan-26,"90,825.86","92,395.52","90,055.02","91,192.99","91,192.99","41,346,275,358"
11-Jan-26,"90,385.36","91,155.23","90,212.02","90,827.46","90,827.46","17,165,568,977"
10-Jan-26,"90,510.10","90,713.03","90,283.40","90,386.65","90,386.65","12,385,895,282"
09-Jan-26,"91,026.27","91,910.67","89,625.38","90,513.10","90,513.10","38,305,906,684"
08-Jan-26,"91,309.64","91,485.85","89,233.88","91,027.13","91,027.13","42,386,697,030"
07-Jan-26,"93,727.47","93,738.79","90,601.80","91,308.05","91,308.05","43,461,295,053"
06-Jan-26,"93,876.95","94,395.30","91,286.55","93,729.03","93,729.03","52,430,605,257"
05-Jan-26,"91,414.63","94,762.07","91,414.63","93,882.55","93,882.55","53,376,407,252"
04-Jan-26,"90,603.00","91,712.59","90,595.10","91,413.49","91,413.49","26,770,491,368"
03-Jan-26,"89,945.05","90,679.57","89,328.07","90,603.19","90,603.19","20,774,828,592"
02-Jan-26,"88,733.06","90,884.46","88,298.62","89,944.70","89,944.70","46,398,906,171"
01-Jan-26,"87,508.05","88,803.23","87,399.41","88,731.98","88,731.98","18,849,043,990"
31-Dec-25,"88,429.59","89,080.29","87,130.56","87,508.83","87,508.83","33,830,210,616"
30-Dec-25,"87,134.35","89,297.94","86,735.55","88,430.13","88,430.13","35,586,356,225"
29-Dec-25,"87,835.79","90,299.16","86,717.91","87,138.14","87,138.14","48,411,625,849"
28-Dec-25,"87,799.34","87,986.89","87,394.95","87,835.84","87,835.84","15,156,557,929"
27-Dec-25,"87,301.43","87,874.78","87,182.98","87,802.16","87,802.16","13,741,199,310"
26-Dec-25,"87,235.51","89,459.43","86,628.14","87,301.43","87,301.43","42,455,674,908"
25-Dec-25,"87,608.32","88,501.79","86,949.26","87,234.74","87,234.74","19,953,216,347"
24-Dec-25,"87,404.32","87,956.88","86,411.80","87,611.96","87,611.96","25,550,297,986"
23-Dec-25,"88,490.03","88,898.38","86,606.98","87,414.00","87,414.00","43,683,011,533"
22-Dec-25,"88,621.40","90,501.93","87,908.07","88,490.02","88,490.02","38,047,472,118"
21-Dec-25,"88,344.70","89,027.95","87,613.20","88,621.75","88,621.75","19,845,522,660"
20-Dec-25,"88,101.67","88,497.20","87,924.88","88,344.00","88,344.00","14,688,196,659"
19-Dec-25,"85,476.13","89,339.12","85,107.66","88,103.38","88,103.38","46,733,310,561"
18-Dec-25,"86,144.37","89,412.66","84,436.31","85,462.51","85,462.51","52,667,115,348"
17-Dec-25,"87,847.62","90,264.57","85,316.27","86,143.76","86,143.76","44,243,392,914"
16-Dec-25,"86,424.41","88,170.09","85,381.69","87,843.98","87,843.98","41,262,178,223"
15-Dec-25,"88,171.08","89,983.92","85,304.08","86,419.78","86,419.78","45,559,514,323"
14-Dec-25,"90,296.44","90,498.11","87,634.94","88,175.18","88,175.18","50,465,972,205"
13-Dec-25,"90,257.80","90,647.57","89,800.99","90,298.71","90,298.71","64,237,748,110"
12-Dec-25,"92,513.66","92,747.93","89,532.60","90,270.41","90,270.41","80,275,884,583"
11-Dec-25,"92,011.30","93,554.27","89,335.30","92,511.34","92,511.34","64,532,834,621"
10-Dec-25,"92,695.23","94,477.16","91,640.13","92,020.95","92,020.95","65,420,694,513"
09-Dec-25,"90,639.70","94,601.57","89,586.98","92,691.71","92,691.71","66,861,721,440"
08-Dec-25,"90,424.59","92,267.12","89,644.89","90,640.20","90,640.20","57,394,099,056"
07-Dec-25,"89,277.81","91,740.84","87,799.56","90,405.64","90,405.64","47,394,898,960"
06-Dec-25,"89,389.36","90,267.46","88,951.66","89,272.38","89,272.38","37,994,042,405"
05-Dec-25,"92,133.65","92,702.64","88,152.14","89,387.76","89,387.76","63,256,398,633"
04-Dec-25,"93,454.26","94,038.24","90,976.10","92,141.63","92,141.63","64,538,402,681"
03-Dec-25,"91,345.09","94,060.77","91,056.39","93,527.80","93,527.80","77,650,204,986"
02-Dec-25,"86,322.54","92,316.63","86,202.20","91,350.20","91,350.20","78,546,798,211"
01-Dec-25,"90,389.11","90,398.16","83,862.25","86,321.57","86,321.57","87,962,894,424"
30-Nov-25,"90,838.21","91,965.05","90,394.31","90,394.31","90,394.31","38,497,902,869"
29-Nov-25,"90,918.74","91,187.62","90,260.19","90,851.76","90,851.76","37,921,773,455"
28-Nov-25,"91,285.38","92,969.09","90,257.12","90,919.27","90,919.27","60,895,830,289"
27-Nov-25,"90,517.77","91,897.58","90,089.52","91,285.38","91,285.38","57,040,622,845"
26-Nov-25,"87,345.59","90,581.16","86,316.90","90,518.37","90,518.37","66,496,301,869"
25-Nov-25,"88,269.96","88,457.34","86,131.43","87,341.89","87,341.89","64,837,343,545"
24-Nov-25,"86,798.77","89,206.34","85,272.20","88,270.56","88,270.56","74,433,896,110"
