iperm,date_announce
10082,9 Mar 1994
10085,15 Oct 1996
10085,5 Dec 1996
10085,12 Jun 1997
10085,18 Aug 1997
10085,16 Oct 1997
10085,4 Nov 1998
10085,5 May 1999
10085,5 Oct 1999
10085,24 Jan 2002
10085,28 Feb 2002
10086,10 Nov 1992
10087,14 Jul 1988
10087,27 Mar 1989
10087,15 Aug 1995
10089,22 Aug 1996
10089,19 Sep 2000
10090,7 Jun 1990
10090,10 Apr 1991
10090,24 Feb 1993
10092,25 Nov 2003
10095,24 Oct 1988
10095,18 Jul 1991
10097,19 Sep 1991
10097,2 Dec 1991
10097,24 Jun 1994
10097,9 Aug 1994
10100,7 May 1993
10100,12 May 1993
10100,14 Sep 1993
10100,6 Feb 1995
10100,20 Mar 2001
10104,18 May 1995
10104,12 Jun 1995
10104,4 Apr 1996
10104,24 Sep 1996
10104,3 Feb 1997
10104,16 May 1997
10104,4 Aug 1997
10104,1 Jul 1998
10104,1 Jul 1998
10104,21 Aug 1998
10104,27 Oct 1998
10104,3 Nov 1998
10104,10 Nov 1998
10104,9 Mar 1999
10104,14 Apr 1999
10104,7 Jun 1999
10104,9 Nov 1999
10104,17 Aug 2001
10104,15 Jan 2002
10104,16 Jan 2002
10104,5 Jun 2002
10104,6 Jun 2003
10104,16 Jun 2003
10104,22 Jan 2004
10104,8 Mar 2005
10104,8 Mar 2005
10104,28 Mar 2005
10104,9 Jun 2005
10104,14 Jun 2005
10104,5 Jul 2005
10104,12 Sep 2005
10104,20 Sep 2005
10104,16 Nov 2005
10104,16 Nov 2005
10107,29 Jun 1987
10107,14 Feb 1989
10107,14 Sep 1989
10107,13 Jun 1990
10107,23 Mar 1992
10107,11 Jun 1993
10107,4 Aug 1993
10107,21 Feb 1994
10107,21 Feb 1994
10107,21 Jun 1994
10107,6 Jul 1994
10107,27 Sep 1994
10107,13 Oct 1994
10107,15 Nov 1994
10107,12 Jan 1995
10107,12 Apr 1995
10107,11 Oct 1995
10107,17 Oct 1995
